name,sg_price,jb_price,sg_url,jb_url
BLACKMORES Bio C® 1000mg Tablets 120s,S$42.42,RM36.50,https://www.watsons.com.sg/blackmores-bio-c%C2%AE-1000mg-tablets-120s/p/BP_37511,https://www.watsons.com.my/blackmores-bio-c-1000mg-30-s/p/BP_27121
BLACKMORES Celery 7000mg Capsules 60s,S$23.13,RM60.90,https://www.watsons.com.sg/blackmores-celery-7000mg-capsules-60s/p/BP_24000,https://www.watsons.com.my/blackmores-celery-7000mg-60s/p/BP_27703
BLACKMORES Bio Magnesium Tablets 90s,S$28.02,RM38.90,https://www.watsons.com.sg/blackmores-bio-magnesium-tablets-90s/p/BP_20829,https://www.watsons.com.my/blackmores-bio-magnesium-plus-60-s/p/BP_70766
ORAL-BEssential Clean Dental Floss 50m x 2s,S$10.70,RM8.90,https://www.watsons.com.sg/oral-b-essential-clean-dental-floss-50m-x-2s/p/BP_44253,https://www.watsons.com.my/oral-b-essential-waxed-dental-floss-50m/p/BP_20212
ORAL-BComplete Easy Clean Soft Toothbrush 5s,S$8.81,RM9.30,https://www.watsons.com.sg/oral-b-complete-easy-clean-soft-toothbrush-5s/p/BP_96461,https://www.watsons.com.my/oral-b-complete-easy-clean-soft-herbal-manual-toothbrush-3s/p/BP_46020
L'OREAL PARIS SKINCAREL'oreal Paris Glycolic Bright Glowing Day Cream 50ml (Contains brightening Glycolic Acid),$38,RM56.72,https://www.watsons.com.sg/l-oreal-paris-skincare-l-oreal-paris-glycolic-bright-glowing-day-cream-50ml-contains-brightening-glycolic-acid/p/BP_25371,https://www.watsons.com.my/l-oreal-paris-skin-care-l-oreal-paris-glycolic-brighte-matte-luminizing-cream-30ml/p/BP_1031024
L'OREAL PARIS SKINCARE Revitalift Hyaluronic Acid Hydrating Gel Cleanser (For Plumpy Skin) 100ml,$38,RM30.73,https://www.watsons.com.sg/l-oreal-paris-skincare-revitalift-hyaluronic-acid-hydrating-gel-cleanser-for-plumpy-skin-100ml/p/BP_13770,https://www.watsons.com.my/l-oreal-paris-skin-care-hyaluronic-acid-gel-cleanser-100ml/p/BP_34149
L'OREAL PARIS SKINCARE Revitalift Triple Action Anti-Aging Night Cream 50ml,$38,RM77.70,https://www.watsons.com.sg/l-oreal-paris-skincare-revitalift-triple-action-anti-aging-night-cream-50ml/p/BP_87381,https://www.watsons.com.my/l-oreal-paris-skin-care-loreal-revitalift-triple-action-serum-30ml/p/BP_1028617
L'OREAL PARIS ELSEVE Hyaluron Pure 72h Conditioner + Shampoo Bundle Set 1s,S$25.05,RM46.76,https://www.watsons.com.sg/l-oreal-paris-elseve-hyaluron-pure-72h-conditioner-shampoo-bundle-set-1s/p/BP_94480,https://www.watsons.com.my/l-oreal-paris-elseve-hyaluron-pure-shampoo-620ml-conditioner-375ml-set/p/BP_1024163
MAYBELLINE Fit Me Concealer 17 Almond 6.8ml,S$13.93,RM22.14,https://www.watsons.com.sg/maybelline-fit-me-concealer-17-almond-6.8ml/p/BP_83790,https://www.watsons.com.my/maybelline-fit-me-concealer-10-light/p/BP_21595
MAYBELLINE Superstay Lumi Matte Foundation 115 142g,S$20.86,RM39.54,https://www.watsons.com.sg/maybelline-superstay-lumi-matte-foundation-115-142g/p/BP_53642,https://www.watsons.com.my/maybelline-superstay-lumi-matte-110/p/BP_1007166
MAYBELLINE Superstay Lumi Matte Foundation 111 142g,S$20.86,RM39.54,https://www.watsons.com.sg/maybelline-superstay-lumi-matte-foundation-111-142g/p/BP_53640,https://www.watsons.com.my/maybelline-superstay-lumi-matte-311/p/BP_1007134
MAYBELLINE Superstay Lumi Matte Foundation 128 142g,S$20.86,RM39.54,https://www.watsons.com.sg/maybelline-superstay-lumi-matte-foundation-128-142g/p/BP_53725,https://www.watsons.com.my/maybelline-superstay-lumi-matte-340/p/BP_1007133
MAYBELLINE Superstay Lumi Matte Foundation 220 142g,S$20.86,RM39.54,https://www.watsons.com.sg/maybelline-superstay-lumi-matte-foundation-220-142g/p/BP_53727,https://www.watsons.com.my/maybelline-superstay-lumi-matte-119/p/BP_1007145
MAYBELLINE Superstay Lumi Matte Foundation 123 142g,S$20.86,RM39.54,https://www.watsons.com.sg/maybelline-superstay-lumi-matte-foundation-123-142g/p/BP_53647,https://www.watsons.com.my/maybelline-superstay-lumi-matte-123/p/BP_1007135
MAYBELLINE Superstay Lumi Matte Foundation 120 142g,S$20.86,RM39.54,https://www.watsons.com.sg/maybelline-superstay-lumi-matte-foundation-120-142g/p/BP_53646,https://www.watsons.com.my/maybelline-superstay-lumi-matte-132/p/BP_1007124
MAYBELLINE Superstay Lumi Matte Foundation 340 142g,S$20.86,RM86.85,https://www.watsons.com.sg/maybelline-superstay-lumi-matte-foundation-340-142g/p/BP_53776,https://www.watsons.com.my/maybelline-superstay-lumi-matte-liquid-foundation-220-fixer-spray-set/p/BP_1021367
MAYBELLINE Superstay Lumi Matte Foundation 330 142g,S$20.86,RM86.85,https://www.watsons.com.sg/maybelline-superstay-lumi-matte-foundation-330-142g/p/BP_53757,https://www.watsons.com.my/maybelline-superstay-lumi-matte-liquid-foundation-115-fixer-spray-set/p/BP_1021365
MAYBELLINE Superstay Lumi Matte Foundation 310 142g,S$20.86,RM86.85,https://www.watsons.com.sg/maybelline-superstay-lumi-matte-foundation-310-142g/p/BP_53754,https://www.watsons.com.my/maybelline-superstay-lumi-matte-liquid-foundation-128-fixer-spray-set/p/BP_1021368
MAYBELLINE Fit Me Fresh Tint 07 SPF50 PA+++30ml (Expiry: Nov`2026),S$13.65,RM42.90,https://www.watsons.com.sg/maybelline-fit-me-fresh-tint-07-spf50-pa-30ml-expiry-nov-2026/p/BP_50211,https://www.watsons.com.my/maybelline-fit-me-fresh-tint-spf-50-0.5-30ml/p/BP_1003315
DETTOL Anti-Bacterial Body Wash Original Refill Pack 800g,S$4.95,RM8.75,https://www.watsons.com.sg/dettol-anti-bacterial-body-wash-original-refill-pack-800g/p/BP_37390,https://www.watsons.com.my/dettol-antibacterial-body-wash-original-250g/p/BP_40394
DETTOL Anti-Bacterial Disinfectant Spray Wild Lavender (Kills 99.9% Germs) 450ml,$38,RM24.68,https://www.watsons.com.sg/dettol-anti-bacterial-disinfectant-spray-wild-lavender-kills-99.9-germs-450ml/p/BP_15419,https://www.watsons.com.my/dettol-disinfectant-spray-wild-lavender-450ml/p/BP_27028
DETTOL Anti-Bacterial Disinfectant Spray Lemon Breeze (Kills 99.9% Germs) 450ml,$38,RM24.68,https://www.watsons.com.sg/dettol-anti-bacterial-disinfectant-spray-lemon-breeze-kills-99.9-germs-450ml/p/BP_15417,https://www.watsons.com.my/dettol-disinfectant-spray-lemon-breeze-450ml/p/BP_27026
DETTOL Progentle Habbatus Sauda & White Jasmine Body Wash 900ml,$38,RM83.30,https://www.watsons.com.sg/dettol-progentle-habbatus-sauda-white-jasmine-body-wash-900ml/p/BP_31241,https://www.watsons.com.my/dettol-detl-shw-habbatus-sauda-white-jasmine-900g-x-4/p/BP_1031502
NIVEA Care Intensive Nourishment Creme (Suitable for Face & Body) 200ml,S$9.10,RM6,https://www.watsons.com.sg/nivea-care-intensive-nourishment-creme-suitable-for-face-body-200ml/p/BP_75583,https://www.watsons.com.my/nivea-body-care-creme-intensive-nourishment-50ml/p/BP_83066
NIVEA Female Deodorant Derma Control Defend Roll On 50ml,S$6.80,RM6,https://www.watsons.com.sg/nivea-female-deodorant-derma-control-defend-roll-on-50ml/p/BP_94405,https://www.watsons.com.my/nivea-female-deodorant-derma-control-defend-roll-50ml/p/BP_1022555
NIVEA Rosehip Caring Lip Scrub 4.8g,S$6.21,RM6,https://www.watsons.com.sg/nivea-rosehip-caring-lip-scrub-4.8g/p/BP_16606,https://www.watsons.com.my/nivea-lip-rosehip-oil-caring-lip-scrub-4.8g/p/BP_36712
LA ROCHE-POSAY Anthelios UV Mune 400 Oil Control Gel Cream (Broad Spectrum Oil Control Face Sunscreen For Oily Skin) 50ml,S$45.52,RM104.93,https://www.watsons.com.sg/la-roche-posay-anthelios-uvmune-400-oil-control-gel-cream-broad-spectrum-oil-control-face-sunscreen-for-oily-skin-50ml/p/BP_50466,https://www.watsons.com.my/la-roche-posay-anthelios-uvmune-400-oil-control-gel-cream-50ml/p/BP_48691
LA ROCHE-POSAY Cicaplast Masque B5 (To Repair Or Fragilized Skin) 25g x 5s,S$36.96,RM83.92,https://www.watsons.com.sg/la-roche-posay-cicaplast-masque-b5-to-repair-or-fragilized-skin-25g-x-5s/p/BP_60878,https://www.watsons.com.my/la-roche-posay-cicaplast-b5-lotion-200ml/p/BP_1018400
